612, 104, 604, 75, 665, 58, 673, 87
106, 119, 104, 75, 208, 70, 210, 113
440, 120, 440, 80, 487, 80, 487, 120
440, 158, 440, 126, 472, 126, 472, 158
141, 163, 141, 144, 169, 144, 169, 163
290, 206, 290, 167, 366, 167, 366, 206
178, 288, 123, 278, 128, 248, 184, 257
410, 286, 410, 261, 446, 261, 446, 286
394, 311, 394, 284, 423, 284, 423, 311
174, 319, 129, 315, 131, 285, 177, 289
603, 344, 603, 315, 629, 315, 629, 344
257, 367, 257, 327, 304, 327, 304, 367
134, 381, 79, 373, 84, 331, 140, 338
604, 375, 604, 345, 655, 345, 655, 375
275, 402, 271, 371, 317, 365, 321, 395
467, 454, 467, 412, 516, 412, 516, 454
285, 470, 285, 430, 318, 430, 318, 470
104, 485, 104, 445, 141, 445, 141, 485
636, 500, 636, 460, 687, 460, 687, 500
309, 508, 285, 508, 285, 476, 309, 476
106, 569, 106, 534, 141, 534, 141, 569
618, 643, 618, 609, 660, 609, 660, 643
344, 705, 259, 641, 285, 606, 371, 669
586, 651, 586, 614, 616, 614, 616, 651
428, 659, 428, 629, 518, 629, 518, 659
125, 669, 125, 637, 200, 637, 200, 669
140, 733, 114, 733, 114, 713, 140, 713
179, 823, 117, 820, 118, 784, 180, 787
289, 835, 289, 800, 359, 800, 359, 835
163, 856, 110, 852, 113, 822, 166, 826
450, 863, 450, 823, 493, 823, 493, 863
685, 950, 685, 938, 717, 938, 717, 950
640, 979, 640, 961, 678, 961, 678, 979
632, 979, 598, 979, 598, 966, 632, 966
730, 979, 700, 979, 700, 966, 730, 966
