988, 44, 919, 41, 920, 13, 990, 17
1052, 48, 993, 45, 994, 21, 1054, 24
151, 207, 135, 98, 246, 82, 262, 191
536, 146, 536, 90, 601, 90, 601, 146
364, 140, 364, 115, 391, 115, 391, 140
338, 220, 333, 117, 388, 114, 393, 217
396, 205, 396, 131, 455, 131, 455, 205
462, 208, 462, 184, 509, 184, 509, 208
343, 290, 339, 220, 513, 210, 516, 281
459, 320, 454, 294, 580, 272, 584, 298
311, 346, 306, 317, 408, 302, 412, 331
531, 329, 528, 313, 583, 304, 586, 320
208, 370, 201, 336, 299, 316, 307, 349
484, 335, 484, 319, 527, 319, 527, 335
459, 342, 456, 325, 481, 320, 485, 337
270, 381, 266, 357, 362, 341, 366, 365
