5,4,487,4,487,75,5,75
491,3,646,3,646,28,491,28
492,30,646,30,646,41,492,41
492,42,646,42,646,62,492,62
491,65,646,65,646,75,491,75
5,76,195,76,195,90,5,90
5,93,26,93,26,279,5,279
27,93,37,93,37,282,27,282
41,94,49,94,49,285,41,285
52,93,67,93,67,281,52,281
70,91,138,91,138,119,70,119
73,120,139,120,139,144,73,144
68,144,141,144,141,155,68,155
71,155,145,155,145,194,71,194
74,195,142,195,142,257,74,257
70,262,222,262,222,279,70,279
4,281,221,281,221,295,4,295
145,194,156,194,156,259,145,259
160,197,193,197,193,210,160,210
159,213,194,213,194,257,159,257
198,75,205,75,205,259,198,259
140,90,177,90,177,157,140,157
180,91,194,91,194,153,180,153
210,78,220,78,220,258,210,258
226,74,256,74,256,294,226,294
259,75,267,75,267,221,259,221
269,77,278,77,278,219,269,219
281,78,296,78,296,218,281,218
300,76,426,76,426,94,300,94
302,106,428,106,428,93,302,93
302,110,427,110,427,146,302,146
300,145,430,145,430,183,300,183
301,183,430,183,430,206,301,206
428,73,446,73,446,205,428,205
302,206,361,206,361,219,302,219
259,221,360,221,360,240,259,240
261,243,362,243,362,278,261,278
257,277,360,277,360,295,257,295
227,296,360,296,360,361,227,361
6,299,69,299,69,327,6,327
8,329,100,329,100,353,8,353
5,358,219,358,219,394,5,394
5,397,346,397,346,441,5,441
223,294,363,294,363,361,223,361
229,362,411,362,411,404,229,404
352,405,411,405,411,435,352,435
413,367,438,367,438,436,413,436
442,433,645,433,645,361,442,361
301,106,426,106,426,146,301,146
363,145,426,145,426,180,363,180
359,205,609,205,609,256,359,256
445,172,534,172,534,207,445,207
424,72,447,72,447,208,424,208
399,258,454,258,454,331,399,331
376,259,393,259,393,360,376,360
224,297,361,297,361,364,224,364
225,358,352,358,352,403,225,403
392,331,516,331,516,361,392,361
517,300,553,300,553,359,517,359
552,296,571,296,571,361,552,361
571,300,648,300,648,348,571,348
642,360,569,360,569,349,642,349
440,365,645,365,645,439,440,439
410,360,440,360,440,437,410,437
609,172,629,172,629,256,609,256
630,111,646,111,646,256,630,256
446,108,630,108,630,158,446,158
445,74,646,74,646,111,445,111
5,2,646,2,646,440,5,440
