7,25,178,25,178,50,7,50
223,101,296,101,296,116,223,116
9,119,73,119,73,132,9,132
365,152,425,152,425,169,365,169
7,285,84,285,84,301,7,301
390,304,479,304,479,322,390,322
8,385,99,385,99,401,8,401
388,299,481,299,481,322,388,322
400,419,478,419,478,440,400,440
9,381,100,381,100,403,9,403
25,437,82,437,82,456,25,456
8,503,186,503,186,523,8,523
388,527,476,527,476,544,388,544
399,417,478,417,478,439,399,439
233,585,328,585,328,608,233,608
8,504,189,504,189,524,8,524
9,134,36,134,36,148,9,148
12,65,74,65,74,88,12,88
228,118,257,118,257,134,228,134
367,174,393,174,393,185,367,185
9,305,35,305,35,319,9,319
390,321,447,321,447,337,390,337
10,406,50,406,50,418,10,418
401,443,428,443,428,455,401,455
29,455,101,455,101,471,29,471
392,549,421,549,421,561,392,561
27,540,56,540,56,556,27,556
261,622,288,622,288,639,261,639
