96,995,604,880,651,1098,143,1213
423,1257,927,1183,955,1392,452,1466
137,1390,495,1319,527,1504,170,1575
49,1159,340,1053,390,1197,99,1302
3718,67,3793,71,3783,280,3708,276
1261,2760,1482,2772,1477,2866,1256,2854
1795,2378,1972,2399,1963,2483,1786,2462
1633,2782,1879,2770,1884,2868,1638,2880
2636,2807,2887,2795,2891,2886,2641,2898
3098,2805,3355,2786,3363,2897,3106,2916
2256,2786,2482,2810,2473,2898,2248,2874
2351,144,2698,177,2687,302,2340,269
27,2708,230,2717,225,2815,22,2806
3651,2829,3754,2825,3756,2879,3653,2883
3231,2852,3514,2821,3523,2907,3240,2938
165,2724,367,2720,368,2823,167,2827
3605,2822,3678,2824,3677,2879,3603,2877
835,65,898,37,916,82,854,109
