228,91,359,101,357,137,226,128
17,-6,180,12,175,58,13,39
95,119,205,123,203,160,94,156
90,186,179,188,179,205,90,204
132,473,215,459,217,476,134,490
212,128,321,132,320,166,211,162
93,375,188,364,190,382,94,393
296,365,372,357,373,374,298,382
92,77,182,81,181,120,90,116
92,339,168,333,169,350,93,356
597,212,663,207,664,223,598,228
281,400,340,392,342,408,283,416
97,449,156,440,158,456,99,465
164,298,228,293,230,311,165,316
92,304,135,302,136,317,92,319
98,529,149,519,152,536,101,547
99,255,156,253,157,269,99,271
97,489,134,484,136,501,99,506
95,413,139,407,141,423,97,428
303,325,366,323,367,344,303,346
157,439,190,434,192,449,159,454
340,392,370,387,372,401,342,406
90,267,141,264,142,280,90,283
324,138,357,137,358,167,325,168
170,331,236,325,238,343,172,349
154,403,192,399,194,414,156,419
135,222,192,222,192,239,135,238
92,223,131,222,132,237,92,238
131,262,182,262,183,280,131,280
182,262,224,260,225,278,183,280
256,330,318,326,319,343,257,347
192,88,214,90,212,120,190,118
144,299,167,298,168,315,144,316
