102,311,434,306,435,355,102,360
112,237,366,235,367,274,112,276
114,142,262,139,262,161,114,164
112,181,322,179,322,211,112,213
117,112,220,111,220,128,117,129
296,50,385,48,385,63,296,65
315,138,395,138,395,159,315,160
119,92,194,92,194,105,119,105
380,176,442,174,443,206,381,207
113,74,174,76,174,90,112,87
173,49,225,50,224,65,172,64
332,110,380,110,380,127,332,127
387,89,429,89,430,103,387,104
313,75,356,74,357,87,313,88
218,91,259,92,259,105,218,104
249,110,305,110,305,127,249,127
387,233,431,231,432,266,388,267
215,75,254,76,253,90,215,89
181,74,215,75,214,90,181,88
283,74,322,75,322,87,283,86
273,90,318,91,318,106,273,105
217,111,249,112,248,128,217,127
121,46,189,47,189,61,121,60
331,180,370,179,370,207,331,207
358,90,387,90,387,104,358,104
327,90,354,91,354,105,327,104
179,91,214,92,214,105,179,104
406,136,431,135,431,160,407,160
235,48,282,50,281,64,235,62
258,75,289,75,289,87,258,88
277,141,302,141,303,158,278,159
